"Gruppe";"KommuneNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - Socialdemokratiet";"FV2015 - Radikale Venstre";"FV2015 - Konservative Folkeparti";"FV2015 - Socialistisk Folkeparti";"FV2015 - Centrum-Demokraterne";"FV2015 - Kristendemokraterne";"FV2015 - Liberal Alliance";"FV2015 - Dansk Folkeparti";"FV2015 - Kristeligt Folkeparti";"FV2015 - Minoritetspartiet";"FV2015 - Venstre";"FV2015 - Ny Alliance";"FV2015 - Fremskridtspartiet";"FV2015 - Enhedslisten";"FV2015 - Alternativet";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2015 - Stram Kurs";"FV2015 - Klaus Riskær Pedersen";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2011 - Stemmeberettigede";"FV2011 - Afgivne stemmer";"FV2011 - Blanke stemmer";"FV2011 - Andre ugyldige stemmer";"FV2011 - Gyldige stemmer";"FV2011 - Socialdemokratiet";"FV2011 - Radikale Venstre";"FV2011 - Konservative Folkeparti";"FV2011 - Socialistisk Folkeparti";"FV2011 - Centrum-Demokraterne";"FV2011 - Kristendemokraterne";"FV2011 - Liberal Alliance";"FV2011 - Dansk Folkeparti";"FV2011 - Kristeligt Folkeparti";"FV2011 - Minoritetspartiet";"FV2011 - Venstre";"FV2011 - Ny Alliance";"FV2011 - Fremskridtspartiet";"FV2011 - Enhedslisten";"FV2011 - Alternativet";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2011 - Stram Kurs";"FV2011 - Klaus Riskær Pedersen";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2007 - Stemmeberettigede";"FV2007 - Afgivne stemmer";"FV2007 - Blanke stemmer";"FV2007 - Andre ugyldige stemmer";"FV2007 - Gyldige stemmer";"FV2007 - Socialdemokratiet";"FV2007 - Radikale Venstre";"FV2007 - Konservative Folkeparti";"FV2007 - Socialistisk Folkeparti";"FV2007 - Centrum-Demokraterne";"FV2007 - Kristendemokraterne";"FV2007 - Liberal Alliance";"FV2007 - Dansk Folkeparti";"FV2007 - Kristeligt Folkeparti";"FV2007 - Minoritetspartiet";"FV2007 - Venstre";"FV2007 - Ny Alliance";"FV2007 - Fremskridtspartiet";"FV2007 - Enhedslisten";"FV2007 - Alternativet";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2007 - Stram Kurs";"FV2007 - Klaus Riskær Pedersen";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2001 - Stemmeberettigede";"FV2001 - Afgivne stemmer";"FV2001 - Blanke stemmer";"FV2001 - Andre ugyldige stemmer";"FV2001 - Gyldige stemmer";"FV2001 - Socialdemokratiet";"FV2001 - Radikale Venstre";"FV2001 - Konservative Folkeparti";"FV2001 - Socialistisk Folkeparti";"FV2001 - Centrum-Demokraterne";"FV2001 - Kristendemokraterne";"FV2001 - Liberal Alliance";"FV2001 - Dansk Folkeparti";"FV2001 - Kristeligt Folkeparti";"FV2001 - Minoritetspartiet";"FV2001 - Venstre";"FV2001 - Ny Alliance";"FV2001 - Fremskridtspartiet";"FV2001 - Enhedslisten";"FV2001 - Alternativet";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2001 - Stram Kurs";"FV2001 - Klaus Riskær Pedersen";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2005 - Stemmeberettigede";"FV2005 - Afgivne stemmer";"FV2005 - Blanke stemmer";"FV2005 - Andre ugyldige stemmer";"FV2005 - Gyldige stemmer";"FV2005 - Socialdemokratiet";"FV2005 - Radikale Venstre";"FV2005 - Konservative Folkeparti";"FV2005 - Socialistisk Folkeparti";"FV2005 - Centrum-Demokraterne";"FV2005 - Kristendemokraterne";"FV2005 - Liberal Alliance";"FV2005 - Dansk Folkeparti";"FV2005 - Kristeligt Folkeparti";"FV2005 - Minoritetspartiet";"FV2005 - Venstre";"FV2005 - Ny Alliance";"FV2005 - Fremskridtspartiet";"FV2005 - Enhedslisten";"FV2005 - Alternativet";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2005 - Stram Kurs";"FV2005 - Klaus Riskær Pedersen";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2019 - Stemmeberettigede";"FV2019 - Afgivne stemmer";"FV2019 - Blanke stemmer";"FV2019 - Andre ugyldige stemmer";"FV2019 - Gyldige stemmer";"FV2019 - Socialdemokratiet";"FV2019 - Radikale Venstre";"FV2019 - Konservative Folkeparti";"FV2019 - Socialistisk Folkeparti";"FV2019 - Centrum-Demokraterne";"FV2019 - Kristendemokraterne";"FV2019 - Liberal Alliance";"FV2019 - Dansk Folkeparti";"FV2019 - Kristeligt Folkeparti";"FV2019 - Minoritetspartiet";"FV2019 - Venstre";"FV2019 - Ny Alliance";"FV2019 - Fremskridtspartiet";"FV2019 - Enhedslisten";"FV2019 - Alternativet";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne";"FV2019 - Stram Kurs";"FV2019 - Klaus Riskær Pedersen";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne"
"101052";"101";"402983";"337787";"2880";"1198";"333709";"73080";"31976";"8430";"22990";"-";"1297";"28552";"33910";"-";"-";"30983";"-";"-";"60675";"41025";"580";"13";"126";"-";"-";"72";"-";"-";"384861";"329722";"2033";"1544";"326145";"61995";"56075";"14997";"42899";"-";"912";"18644";"25233";"-";"-";"44590";"-";"-";"60449";"-";"109";"142";"9";"-";"-";"46";"33";"12";"369991";"310363";"1258";"967";"308138";"75695";"28291";"26911";"69773";"-";"1575";"-";"31032";"-";"-";"38334";"13055";"-";"23351";"-";"10";"55";"11";"-";"-";"11";"34";"-";"375506";"308705";"2137";"1226";"305342";"86642";"32819";"21126";"38068";"7302";"-";"-";"33247";"4919";"-";"58537";"-";"1099";"21289";"-";"294";"-";"-";"-";"-";"-";"-";"-";"371863";"299244";"1697";"951";"296596";"71386";"53487";"23782";"31450";"3412";"3159";"-";"31844";"-";"1645";"46848";"-";"-";"29483";"-";"68";"12";"20";"-";"-";"-";"-";"-";"423180";"356826";"2345";"1171";"353310";"58047";"59894";"15434";"42797";"4671";"2541";"9071";"12907";"-";"-";"48466";"-";"-";"65877";"25276";"18";"144";"70";"4383";"3440";"249";"25";"-"
"147005";"147";"74560";"65512";"514";"189";"64809";"14129";"7189";"3831";"3787";"-";"201";"6933";"6244";"-";"-";"8290";"-";"-";"7862";"6224";"94";"1";"19";"-";"-";"5";"-";"-";"73446";"65562";"346";"228";"64988";"10797";"12234";"6285";"6852";"-";"175";"4558";"4535";"-";"-";"11626";"-";"-";"7897";"-";"7";"13";"1";"-";"-";"6";"2";"0";"70758";"62114";"240";"168";"61706";"13106";"6143";"10250";"10689";"-";"305";"-";"5473";"-";"-";"9488";"3171";"-";"3059";"-";"2";"10";"3";"-";"-";"3";"4";"-";"72272";"63005";"397";"214";"62394";"14788";"6574";"10375";"5396";"1603";"-";"-";"5255";"1035";"-";"14281";"-";"175";"2912";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71636";"60980";"325";"199";"60456";"11966";"11380";"10350";"4674";"630";"650";"-";"5400";"-";"224";"11553";"-";"-";"3629";"-";"-";"-";"-";"-";"-";"-";"-";"-";"74439";"65425";"310";"155";"64960";"10185";"11580";"6220";"6875";"906";"488";"1897";"2402";"-";"-";"11815";"-";"-";"8019";"3320";"2";"19";"6";"618";"565";"38";"5";"-"
"151002";"151";"34508";"29794";"290";"81";"29423";"10487";"1060";"674";"1296";"-";"176";"1711";"6767";"-";"-";"3867";"-";"-";"2278";"1087";"18";"2";"-";"-";"-";"-";"-";"-";"34263";"30355";"215";"79";"30061";"9950";"2548";"1385";"2534";"-";"112";"1283";"4295";"-";"-";"5819";"-";"-";"2096";"-";"39";"-";"-";"-";"-";"-";"-";"-";"33886";"29949";"146";"72";"29731";"10760";"1162";"2778";"3715";"-";"121";"-";"4836";"-";"-";"5011";"758";"-";"586";"-";"0";"4";"-";"-";"-";"-";"-";"-";"34027";"30412";"211";"67";"30134";"10945";"1240";"1911";"2191";"586";"-";"-";"4728";"451";"-";"7252";"-";"73";"757";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33885";"29350";"143";"58";"29149";"10052";"2049";"2555";"1898";"300";"290";"-";"4871";"-";"52";"6090";"-";"-";"985";"-";"7";"-";"-";"-";"-";"-";"-";"-";"34437";"29219";"259";"74";"28886";"9601";"2193";"1643";"2766";"689";"352";"647";"2898";"-";"-";"4511";"-";"-";"2001";"695";"7";"75";"-";"585";"223";"-";"-";"-"
"153003";"153";"23764";"18993";"133";"76";"18784";"6635";"610";"309";"870";"-";"55";"839";"5013";"-";"-";"2117";"-";"-";"1691";"557";"61";"27";"-";"-";"-";"-";"-";"-";"23673";"19981";"122";"94";"19765";"6455";"1463";"678";"2084";"-";"59";"648";"3348";"-";"-";"3446";"-";"-";"1569";"-";"15";"-";"-";"-";"-";"-";"-";"-";"23827";"20159";"93";"74";"19992";"6711";"728";"1465";"3005";"-";"91";"-";"3737";"-";"-";"3293";"472";"-";"483";"-";"2";"5";"-";"-";"-";"-";"-";"-";"23784";"20501";"109";"50";"20342";"7528";"761";"1176";"1419";"393";"-";"-";"3669";"230";"-";"4518";"-";"63";"585";"-";"-";"-";"-";"-";"-";"-";"-";"-";"24189";"19946";"106";"56";"19784";"6683";"1497";"1397";"1292";"219";"164";"-";"3847";"-";"45";"3851";"-";"-";"774";"-";"15";"-";"-";"-";"-";"-";"-";"-";"23322";"18610";"138";"79";"18393";"6404";"1755";"765";"1489";"406";"111";"238";"2070";"-";"-";"2426";"-";"-";"1406";"648";"18";"51";"-";"483";"123";"-";"-";"-"
"155004";"155";"10116";"9111";"62";"26";"9023";"1983";"468";"528";"283";"-";"11";"1046";"1941";"-";"-";"1972";"-";"-";"438";"344";"7";"0";"1";"-";"-";"1";"-";"-";"9968";"9085";"25";"9";"9051";"1404";"923";"884";"571";"-";"13";"656";"1267";"-";"-";"2890";"-";"-";"441";"-";"0";"1";"0";"-";"-";"1";"0";"0";"9603";"8777";"30";"11";"8736";"1661";"491";"1561";"833";"-";"29";"-";"1292";"-";"-";"2416";"327";"-";"124";"-";"0";"0";"1";"-";"-";"1";"0";"-";"9624";"8901";"28";"12";"8861";"2108";"463";"987";"469";"204";"-";"-";"1135";"88";"-";"3248";"-";"22";"137";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9565";"8532";"28";"10";"8494";"1526";"774";"1481";"411";"82";"48";"-";"1278";"-";"9";"2661";"-";"-";"224";"-";"0";"-";"-";"-";"-";"-";"-";"-";"10275";"9123";"43";"17";"9063";"1783";"889";"973";"503";"214";"51";"248";"770";"-";"-";"2804";"-";"-";"404";"198";"0";"1";"1";"127";"94";"3";"0";"-"
"157008";"157";"50915";"45411";"284";"108";"45019";"7850";"4083";"4553";"1452";"-";"135";"7876";"4722";"-";"-";"9600";"-";"-";"2327";"2399";"15";"7";"-";"-";"-";"-";"-";"-";"49736";"45396";"201";"162";"45033";"5342";"6787";"6755";"2142";"-";"116";"4599";"3099";"-";"-";"13877";"-";"-";"2299";"-";"17";"-";"-";"-";"-";"-";"-";"-";"48563";"43671";"123";"90";"43458";"5938";"3477";"12080";"3851";"-";"170";"-";"3420";"-";"-";"11085";"2399";"-";"1038";"-";"0";"0";"-";"-";"-";"-";"-";"-";"50482";"45006";"202";"128";"44676";"6465";"3939";"8201";"2424";"1497";"-";"-";"3457";"822";"-";"16712";"-";"108";"1051";"-";"-";"-";"-";"-";"-";"-";"-";"-";"49573";"43434";"145";"86";"43203";"5106";"5639";"11780";"2046";"460";"448";"-";"3559";"-";"95";"12843";"-";"-";"1217";"-";"10";"-";"-";"-";"-";"-";"-";"-";"50722";"45141";"213";"138";"44790";"5163";"6586";"9226";"2779";"995";"415";"2138";"1617";"-";"-";"11300";"-";"-";"2300";"1286";"1";"105";"-";"501";"378";"-";"-";"-"
"159002";"159";"46261";"39513";"352";"98";"39063";"11629";"2632";"1225";"2127";"-";"186";"2997";"6817";"-";"-";"5333";"-";"-";"3895";"2187";"32";"3";"-";"-";"-";"-";"-";"-";"45597";"40215";"318";"99";"39798";"10329";"5043";"2162";"3855";"-";"148";"1890";"4609";"-";"-";"8064";"-";"-";"3667";"-";"31";"-";"-";"-";"-";"-";"-";"-";"44784";"39149";"173";"67";"38909";"10780";"2622";"4144";"6077";"-";"196";"-";"5192";"-";"-";"7164";"1420";"-";"1312";"-";"1";"1";"-";"-";"-";"-";"-";"-";"45373";"39933";"239";"49";"39645";"12023";"2464";"3071";"3523";"1234";"-";"-";"5289";"674";"-";"9698";"-";"130";"1539";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44908";"38317";"235";"86";"37996";"10079";"4335";"3989";"3032";"726";"402";"-";"5304";"-";"134";"8051";"-";"-";"1941";"-";"3";"-";"-";"-";"-";"-";"-";"-";"46498";"39339";"292";"126";"38921";"9977";"4869";"2543";"4584";"737";"354";"965";"2787";"-";"-";"6260";"-";"-";"3424";"1339";"4";"89";"-";"653";"336";"-";"-";"-"
"161005";"161";"16131";"13602";"105";"39";"13458";"4209";"424";"334";"505";"-";"47";"859";"3559";"-";"-";"2088";"-";"-";"982";"422";"19";"10";"-";"-";"-";"-";"-";"-";"15901";"13882";"88";"60";"13734";"3969";"1058";"639";"1127";"-";"44";"575";"2304";"-";"-";"3140";"-";"-";"866";"-";"12";"-";"-";"-";"-";"-";"-";"-";"15486";"13425";"57";"42";"13326";"4173";"497";"1357";"1589";"-";"52";"-";"2416";"-";"-";"2698";"316";"-";"227";"-";"1";"0";"-";"-";"-";"-";"-";"-";"15635";"13715";"70";"52";"13593";"4504";"419";"965";"941";"256";"-";"-";"2235";"179";"-";"3814";"-";"39";"241";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15699";"13436";"77";"52";"13307";"3899";"848";"1160";"740";"138";"119";"-";"2553";"-";"27";"3429";"-";"-";"386";"-";"8";"-";"-";"-";"-";"-";"-";"-";"15995";"13230";"122";"53";"13055";"3928";"972";"779";"1078";"355";"98";"299";"1543";"-";"-";"2466";"-";"-";"758";"308";"6";"33";"-";"328";"104";"-";"-";"-"
"163002";"163";"19748";"16816";"166";"37";"16613";"5610";"604";"540";"815";"-";"141";"948";"3627";"-";"-";"2094";"-";"-";"1569";"650";"12";"3";"-";"-";"-";"-";"-";"-";"19196";"16812";"138";"62";"16612";"5143";"1425";"872";"1636";"-";"129";"648";"2287";"-";"-";"3096";"-";"-";"1364";"-";"12";"-";"-";"-";"-";"-";"-";"-";"19189";"16670";"84";"29";"16557";"5437";"722";"1688";"2413";"-";"186";"-";"2599";"-";"-";"2699";"405";"-";"408";"-";"0";"0";"-";"-";"-";"-";"-";"-";"19741";"17345";"99";"58";"17188";"6382";"722";"1265";"1306";"331";"-";"-";"2414";"393";"-";"3852";"-";"39";"484";"-";"-";"-";"-";"-";"-";"-";"-";"-";"19529";"16484";"83";"39";"16362";"5398";"1324";"1554";"1168";"196";"294";"-";"2567";"-";"49";"3182";"-";"-";"627";"-";"3";"-";"-";"-";"-";"-";"-";"-";"20120";"16797";"151";"64";"16582";"5306";"1323";"1063";"1588";"400";"245";"324";"1416";"-";"-";"2499";"-";"-";"1424";"441";"2";"57";"-";"376";"118";"-";"-";"-"
"165004";"165";"18301";"15241";"135";"99";"15007";"4836";"638";"339";"1098";"-";"63";"597";"3116";"-";"-";"1274";"-";"-";"2201";"806";"32";"7";"-";"-";"-";"-";"-";"-";"18173";"15809";"97";"94";"15618";"4823";"1433";"547";"2148";"-";"43";"447";"1984";"-";"-";"2102";"-";"-";"2077";"-";"14";"-";"-";"-";"-";"-";"-";"-";"18145";"15633";"78";"57";"15498";"4944";"714";"1059";"3330";"-";"58";"-";"2283";"-";"-";"1958";"335";"-";"815";"-";"0";"2";"-";"-";"-";"-";"-";"-";"19463";"17179";"107";"60";"17012";"5911";"817";"890";"1977";"369";"-";"-";"2444";"169";"-";"3321";"-";"37";"1077";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18777";"15869";"61";"56";"15752";"5072";"1467";"997";"1618";"183";"127";"-";"2393";"-";"58";"2549";"-";"-";"1280";"-";"8";"-";"-";"-";"-";"-";"-";"-";"18411";"15254";"142";"66";"15046";"4464";"1379";"620";"2092";"358";"121";"201";"1225";"-";"-";"1520";"-";"-";"1832";"752";"4";"40";"-";"338";"100";"-";"-";"-"
